Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
NLGN2,neuroligin 2,57555,17,-0.05925,5.082,0.5162,0.7798,,,,,,,,,,,
CEPT1,choline/ethanolamine phosphotransferase 1,10390,1,-0.02988,5.358,0.5157,0.7792,,,,,,,,,,,
ITPKB,inositol-trisphosphate 3-kinase B,3707,1,-0.04151,4.429,0.5157,0.7792,,,,,,,,,,,
KRT8P41,keratin 8 pseudogene 41,283102,11,-0.09941,-4.669,0.5156,0.7791,,,,,,,,,,,
PCK1,phosphoenolpyruvate carboxykinase 1,5105,20,-0.2264,-2.677,0.515,0.7784,,,,,,,,,,,
LOC101929679,uncharacterized LOC101929679,101929679,15,-0.04239,-6.204,0.5147,0.7781,,,,,,,,,,,
EPN2-IT1,EPN2 intronic transcript 1,100874309,17,-0.05614,-5.986,0.5146,0.7781,,,,,,,,,,,
PRPS1L1,phosphoribosyl pyrophosphate synthetase 1-like 1,221823,7,-0.09032,-4.637,0.5146,0.7781,,,,,,,,,,,
NA,NA,NA,NA,-0.09632,-1.065,0.5145,0.778,,,,,,,,,,,
RRS1,ribosome biogenesis regulator homolog,23212,8,-0.04738,2.384,0.5142,0.7777,,,,,,,,,,,
SNORD12,"small nucleolar RNA, C/D box 12",692057,20,-0.09042,-0.211,0.5142,0.7777,,,,,,,,,,,
TMEM170A,transmembrane protein 170A,124491,16,-0.03332,2.561,0.5139,0.7775,,,,,,,,,,,
AVIL,advillin,10677,12,-0.06811,2.727,0.5135,0.777,,,,,,,,,,,
SGMS1,sphingomyelin synthase 1,259230,10,-0.03965,3.971,0.5134,0.777,,,,,,,,,,,
POTEB2,POTE ankyrin domain family member B2,100287399,15,-0.04302,-6.25,0.5132,0.7768,,,,,,,,,,,
OR4D5,olfactory receptor family 4 subfamily D member 5,219875,11,-0.06275,-6.01,0.5129,0.7765,,,,,,,,,,,
KRTAP10-12,keratin associated protein 10-12,386685,21,-0.04892,-6.18,0.5129,0.7765,,,,,,,,,,,
TES,testin LIM domain protein,26136,7,-0.04732,6.2,0.5127,0.7765,,,,,,,,,,,
RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",51493,22,-0.02731,5.99,0.5126,0.7764,,,,,,,,,,,
SNORA70D,"small nucleolar RNA, H/ACA box 70D",100379141,16,-0.043,-6.234,0.5126,0.7764,,,,,,,,,,,
GLIS3-AS1,GLIS3 antisense RNA 1,84850,9,-0.07622,-5.807,0.5122,0.7759,,,,,,,,,,,
NA,NA,NA,NA,-0.05109,-1.486,0.5121,0.7758,,,,,,,,,,,
SSBP2,single-stranded DNA binding protein 2,23635,5,-0.05754,4.044,0.5121,0.7758,,,,,,,,,,,
SPDYE7P,"speedy/RINGO cell cycle regulator family member E7, pseudogene",441251,7,-0.05724,-6.07,0.5119,0.7758,,,,,,,,,,,
SLC35B4,solute carrier family 35 member B4,84912,7,-0.03404,3.698,0.5119,0.7758,,,,,,,,,,,
MIR548I1,microRNA 548i-1,100302204,3,-0.03964,-6.246,0.5117,0.7756,,,,,,,,,,,
ADRB3,adrenoceptor beta 3,155,8,-0.1262,-4.43,0.5117,0.7756,,,,,,,,,,,
VIL1,villin 1,7429,2,-0.1853,-3.305,0.5112,0.775,,,,,,,,,,,
TGM7,transglutaminase 7,116179,15,-0.07263,-5.927,0.5111,0.775,,,,,,,,,,,
DNAJC25-GNG10,DNAJC25-GNG10 readthrough,552891,9,-0.05154,-6.102,0.511,0.7749,,,,,,,,,,,
KRT37,keratin 37,8688,17,-0.1134,-5.169,0.5109,0.7748,,,,,,,,,,,
C8orf74,chromosome 8 open reading frame 74,203076,8,-0.03946,-6.255,0.5103,0.774,,,,,,,,,,,
ZBED1,zinc finger BED-type containing 1,9189,X; Y,-0.08544,-5.222,0.5102,0.774,,,,,,,,,,,
EPCAM,epithelial cell adhesion molecule,4072,2,-0.09942,7.905,0.5101,0.7738,,,,,,,,,,,
NA,NA,NA,NA,-0.04171,-6.238,0.5099,0.7737,,,,,,,,,,,
CCDC177,coiled-coil domain containing 177,56936,14,-0.1242,-4.93,0.5097,0.7735,,,,,,,,,,,
TMSB15A,thymosin beta 15a,11013,X,-0.1374,-0.9598,0.5096,0.7733,,,,,,,,,,,
CHMP2B,charged multivesicular body protein 2B,25978,3,-0.04221,5.345,0.5095,0.7733,,,,,,,,,,,
ALOX12,arachidonate 12-lipoxygenase,239,17,-0.1956,-0.5231,0.5087,0.7724,,,,,,,,,,,
NA,NA,NA,NA,-0.03895,-6.26,0.5086,0.7723,,,,,,,,,,,
RPL7A,ribosomal protein L7a,6130,9,-0.04081,7.072,0.5085,0.7722,,,,,,,,,,,
NA,NA,NA,NA,-0.0971,-4.05,0.5083,0.7719,,,,,,,,,,,
ASH1L-AS1,ASH1L antisense RNA 1,645676,1,-0.04238,2.244,0.5082,0.7718,,,,,,,,,,,
CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,1951,3,-0.1061,4.416,0.5081,0.7718,,,,,,,,,,,
NXPE2,neurexophilin and PC-esterase domain family member 2,120406,11,-0.1078,-2.713,0.508,0.7717,,,,,,,,,,,
ATXN1L,ataxin 1 like,342371,16,-0.03683,4.995,0.508,0.7717,,,,,,,,,,,
AXIN1,axin 1,8312,16,-0.03057,4.981,0.5079,0.7717,,,,,,,,,,,
FGF13,fibroblast growth factor 13,2258,X,-0.08787,0.4697,0.5078,0.7716,,,,,,,,,,,
SNORA46,"small nucleolar RNA, H/ACA box 46",677827,16,-0.08136,1.629,0.5078,0.7716,,,,,,,,,,,
ZNF791,zinc finger protein 791,163049,19,-0.02694,4.785,0.5078,0.7716,,,,,,,,,,,
RBBP4,retinoblastoma binding protein 4,5928,1,-0.03347,7.143,0.5076,0.7715,,,,,,,,,,,
TARDBP,TAR DNA binding protein,23435,1,-0.02282,7.803,0.5075,0.7715,,,,,,,,,,,
C9,complement component 9,735,5,-0.1663,-2.89,0.5074,0.7713,,,,,,,,,,,
PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing,390940,19,-0.07826,-0.8944,0.5073,0.7713,,,,,,,,,,,
GUCY1B2,"guanylate cyclase 1, soluble, beta 2 (pseudogene)",2974,13,-0.1311,-0.1109,0.5073,0.7713,,,,,,,,,,,
PRMT3,protein arginine methyltransferase 3,10196,11,-0.03509,4.844,0.5068,0.7709,,,,,,,,,,,
IL1RN,interleukin 1 receptor antagonist,3557,2,-0.1075,5.143,0.5068,0.7708,,,,,,,,,,,
NA,NA,NA,NA,-0.03991,-6.251,0.5067,0.7708,,,,,,,,,,,
JAGN1,jagunal homolog 1,84522,3,-0.04451,3.373,0.5067,0.7708,,,,,,,,,,,
ARID4B,AT-rich interaction domain 4B,51742,1,-0.02624,7.295,0.5063,0.7704,,,,,,,,,,,
APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,10930,6,-0.09489,-5.66,0.5062,0.7703,,,,,,,,,,,
ZCCHC9,zinc finger CCHC-type containing 9,84240,5,-0.0266,3.872,0.506,0.7702,,,,,,,,,,,
CYP7A1,cytochrome P450 family 7 subfamily A member 1,1581,8,-0.1196,-3.624,0.5059,0.7702,,,,,,,,,,,
VTCN1,V-set domain containing T cell activation inhibitor 1,79679,1,-0.2027,0.6424,0.5059,0.7702,,,,,,,,,,,
NUTM2A,NUT family member 2A,728118,10,-0.1099,-1.988,0.5056,0.7701,,,,,,,,,,,
NOVA1,neuro-oncological ventral antigen 1,4857,14,-0.1169,0.2997,0.5056,0.7701,,,,,,,,,,,
LINC01600,long intergenic non-protein coding RNA 1600,154386,6,-0.08165,-5.46,0.5055,0.77,,,,,,,,,,,
SCARNA11,small Cajal body-specific RNA 11,677780,12,-0.08265,1.095,0.5054,0.7699,,,,,,,,,,,
ATAD3B,"ATPase family, AAA domain containing 3B",83858,1,-0.04687,4.308,0.5048,0.7691,,,,,,,,,,,
NA,NA,NA,NA,-0.1078,-5.428,0.5047,0.7691,,,,,,,,,,,
GPR161,G protein-coupled receptor 161,23432,1,-0.06852,2.264,0.5047,0.7691,,,,,,,,,,,
CMTM7,CKLF like MARVEL transmembrane domain containing 7,112616,3,-0.06323,3.7,0.5043,0.7687,,,,,,,,,,,
IFNLR1,"interferon, lambda receptor 1",163702,1,-0.06759,1.347,0.5039,0.7682,,,,,,,,,,,
NOMO3,NODAL modulator 3,408050,16,-0.06803,2.667,0.5038,0.7682,,,,,,,,,,,
USE1,unconventional SNARE in the ER 1 homolog (S. cerevisiae),55850,19,-0.03205,2.251,0.5038,0.7682,,,,,,,,,,,
NAT16,N-acetyltransferase 16 (putative),375607,7,-0.0473,-6.209,0.5038,0.7682,,,,,,,,,,,
NALCN,"sodium leak channel, non-selective",259232,13,-0.1314,2.292,0.5036,0.7681,,,,,,,,,,,
GMPPB,GDP-mannose pyrophosphorylase B,29925,3,-0.04276,2.578,0.5036,0.7681,,,,,,,,,,,
CEMP1,cementum protein 1,752014,16,-0.1107,-3.942,0.5035,0.768,,,,,,,,,,,
FOXO1,forkhead box O1,2308,13,-0.05989,4.477,0.5034,0.7679,,,,,,,,,,,
ARTN,artemin,9048,1,-0.1122,-3.253,0.5033,0.7678,,,,,,,,,,,
ZC3H7A,zinc finger CCCH-type containing 7A,29066,16,-0.02739,5.868,0.5032,0.7677,,,,,,,,,,,
MZT2B,mitotic spindle organizing protein 2B,80097,2,-0.04698,2.927,0.503,0.7675,,,,,,,,,,,
EI24,"EI24, autophagy associated transmembrane protein",9538,11,-0.03912,7,0.5029,0.7675,,,,,,,,,,,
PLXNA1,plexin A1,5361,3,-0.05091,7.067,0.5027,0.7673,,,,,,,,,,,
LOC101559451,uncharacterized LOC101559451,101559451,17,-0.04121,-6.246,0.5025,0.767,,,,,,,,,,,
HBP1,HMG-box transcription factor 1,26959,7,-0.02711,6.079,0.5025,0.767,,,,,,,,,,,
LOC101928189,uncharacterized LOC101928189,101928189,1,-0.04872,-6.159,0.5025,0.767,,,,,,,,,,,
RAB27B,"RAB27B, member RAS oncogene family",5874,18,-0.1026,3.662,0.5024,0.767,,,,,,,,,,,
GANAB,glucosidase II alpha subunit,23193,11,-0.03044,8.317,0.5024,0.767,,,,,,,,,,,
FZD6,frizzled class receptor 6,8323,8,-0.06069,7.095,0.5022,0.7669,,,,,,,,,,,
POU3F4,POU class 3 homeobox 4,5456,X,-0.1171,-5.484,0.502,0.7667,,,,,,,,,,,
RALBP1,ralA binding protein 1,10928,18,-0.07708,6.56,0.5018,0.7666,,,,,,,,,,,
COX6B1,cytochrome c oxidase subunit 6B1,1340,19,-0.03988,7.178,0.5017,0.7664,,,,,,,,,,,
C1orf186,chromosome 1 open reading frame 186,440712,1,-0.1798,0.4427,0.5016,0.7663,,,,,,,,,,,
SLC17A5,solute carrier family 17 member 5,26503,6,-0.05042,5.95,0.5016,0.7663,,,,,,,,,,,
PTBP2,polypyrimidine tract binding protein 2,58155,1,-0.03842,4.623,0.5015,0.7663,,,,,,,,,,,
NOS3,nitric oxide synthase 3,4846,7,-0.06429,2.344,0.5014,0.7662,,,,,,,,,,,
CFAP46,cilia and flagella associated protein 46,54777,10,-0.1513,-3.661,0.5013,0.7661,,,,,,,,,,,
NA,NA,NA,NA,-0.0615,-5.985,0.5011,0.7659,,,,,,,,,,,
NA,NA,NA,NA,-0.06075,-5.896,0.501,0.7659,,,,,,,,,,,
NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,4723,11,-0.03475,6.904,0.501,0.7658,,,,,,,,,,,
APELA,apelin receptor early endogenous ligand,100506013,4,-0.05539,-6.083,0.5009,0.7657,,,,,,,,,,,
CHRM2,cholinergic receptor muscarinic 2,1129,7,-0.2361,-1.401,0.5007,0.7656,,,,,,,,,,,
LOC101928247,uncharacterized LOC101928247,101928247,5,-0.04294,-6.233,0.5007,0.7656,,,,,,,,,,,
FAM122B,family with sequence similarity 122B,159090,X,-0.03535,5.759,0.5006,0.7655,,,,,,,,,,,
OR2A1-AS1,OR2A1 antisense RNA 1,101928492,7,-0.04197,-6.228,0.5005,0.7654,,,,,,,,,,,
TMEM247,transmembrane protein 247,388946,2,-0.0945,-5.903,0.5005,0.7654,,,,,,,,,,,
RAP1GAP2,RAP1 GTPase activating protein 2,23108,17,-0.07403,4.508,0.5004,0.7654,,,,,,,,,,,
MIR6800,microRNA 6800,102465480,19,-0.04053,-6.262,0.5004,0.7654,,,,,,,,,,,
DHFRL1,dihydrofolate reductase like 1,200895,3,-0.03755,2.464,0.5001,0.765,,,,,,,,,,,
C2orf72,chromosome 2 open reading frame 72,257407,2,-0.1749,-1.587,0.4998,0.7648,,,,,,,,,,,
RIC8A,RIC8 guanine nucleotide exchange factor A,60626,11,-0.03185,5.321,0.4997,0.7647,,,,,,,,,,,
ZDHHC9,zinc finger DHHC-type containing 9,51114,X,-0.03937,6.01,0.4997,0.7647,,,,,,,,,,,
NA,NA,NA,NA,-0.0507,-6.161,0.4996,0.7647,,,,,,,,,,,
PCYOX1L,prenylcysteine oxidase 1 like,78991,5,-0.04541,2.353,0.4996,0.7647,,,,,,,,,,,
FAM175A,family with sequence similarity 175 member A,84142,4,-0.04672,3.197,0.4995,0.7646,,,,,,,,,,,
MORF4L2-AS1,MORF4L2 antisense RNA 1,340544,X,-0.05867,-5.892,0.4991,0.7642,,,,,,,,,,,
C10orf71,chromosome 10 open reading frame 71,118461,10,-0.1255,-5.06,0.4991,0.7642,,,,,,,,,,,
MED31,mediator complex subunit 31,51003,17,-0.03652,1.651,0.4991,0.7642,,,,,,,,,,,
LRRC71,leucine rich repeat containing 71,149499,1,-0.1011,-2.979,0.4989,0.7641,,,,,,,,,,,
TUBA8,tubulin alpha 8,51807,22,-0.04928,2.004,0.4988,0.764,,,,,,,,,,,
AATK-AS1,AATK antisense RNA 1,388428,17,-0.04487,-6.231,0.4988,0.764,,,,,,,,,,,
ODF3L2,outer dense fiber of sperm tails 3-like 2,284451,19,-0.04765,-6.175,0.4985,0.7637,,,,,,,,,,,
SHB,Src homology 2 domain containing adaptor protein B,6461,9,-0.04913,3.588,0.4984,0.7636,,,,,,,,,,,
NCBP3,nuclear cap binding subunit 3,55421,17,-0.02885,5.73,0.4984,0.7636,,,,,,,,,,,
LOC101927843,uncharacterized LOC101927843,101927843,21,-0.04121,-6.255,0.4981,0.7634,,,,,,,,,,,
GPR89B,G protein-coupled receptor 89B,51463,1,-0.04561,0.7068,0.4981,0.7634,,,,,,,,,,,
MAPK3,mitogen-activated protein kinase 3,5595,16,-0.03284,4.78,0.4975,0.7628,,,,,,,,,,,
ROCK2,Rho associated coiled-coil containing protein kinase 2,9475,2,-0.0315,7.516,0.4974,0.7628,,,,,,,,,,,
LINC00881,long intergenic non-protein coding RNA 881,100498859,3,-0.04022,-6.264,0.4974,0.7628,,,,,,,,,,,
C4orf48,chromosome 4 open reading frame 48,401115,4,-0.08797,-3.105,0.4973,0.7628,,,,,,,,,,,
NA,NA,NA,NA,-0.04239,-6.253,0.4972,0.7627,,,,,,,,,,,
AQP2,aquaporin 2,359,12,-0.1339,-5.474,0.4972,0.7627,,,,,,,,,,,
IKZF4,IKAROS family zinc finger 4,64375,12,-0.03081,1.698,0.4971,0.7626,,,,,,,,,,,
PPFIA2,PTPRF interacting protein alpha 2,8499,12,-0.1235,1.676,0.4971,0.7626,,,,,,,,,,,
TTC37,tetratricopeptide repeat domain 37,9652,5,-0.02676,8.207,0.4971,0.7626,,,,,,,,,,,
MIR545,microRNA 545,664614,X,-0.04304,-6.244,0.4966,0.7622,,,,,,,,,,,
NXNL2,nucleoredoxin-like 2,158046,9,-0.1018,-4.723,0.4965,0.7622,,,,,,,,,,,
SNX32,sorting nexin 32,254122,11,-0.1266,-3.02,0.4964,0.7621,,,,,,,,,,,
RNMTL1,RNA methyltransferase like 1,55178,17,-0.04179,2.375,0.4964,0.7621,,,,,,,,,,,
GNA14,G protein subunit alpha 14,9630,9,-0.1097,1.137,0.4963,0.762,,,,,,,,,,,
FAM195B,family with sequence similarity 195 member B,348262,17,-0.04793,2.154,0.4962,0.7619,,,,,,,,,,,
THG1L,tRNA-histidine guanylyltransferase 1 like,54974,5,-0.04082,2.924,0.4962,0.7619,,,,,,,,,,,
FIGN,fidgetin,55137,2,-0.09797,2.482,0.496,0.7618,,,,,,,,,,,
ZDHHC11B,zinc finger DHHC-type containing 11B,653082,5,-0.1446,-0.3586,0.496,0.7618,,,,,,,,,,,
OR5D14,olfactory receptor family 5 subfamily D member 14,219436,11,-0.04807,-6.211,0.4957,0.7615,,,,,,,,,,,
CHTOP,chromatin target of PRMT1,26097,1,-0.03047,4.532,0.4956,0.7615,,,,,,,,,,,
ANKS4B,ankyrin repeat and sterile alpha motif domain containing 4B,257629,16,-0.1482,-4.492,0.4954,0.7613,,,,,,,,,,,
AGAP1-IT1,AGAP1 intronic transcript 1,100506749,2,-0.08095,-5.26,0.4953,0.7611,,,,,,,,,,,
GH2,growth hormone 2,2689,17,-0.1457,-5.324,0.4952,0.761,,,,,,,,,,,
CHAD,chondroadherin,1101,17,-0.1246,-4.982,0.4951,0.761,,,,,,,,,,,
CPNE1,copine 1,8904,20,-0.04435,6.84,0.4945,0.7604,,,,,,,,,,,
ZNF90,zinc finger protein 90,7643,19,-0.1063,4.587,0.4944,0.7604,,,,,,,,,,,
OR8S1,olfactory receptor family 8 subfamily S member 1,341568,12,-0.1427,-4.676,0.4941,0.7602,,,,,,,,,,,
VEGFB,vascular endothelial growth factor B,7423,11,-0.04616,3.062,0.4938,0.76,,,,,,,,,,,
NEK9,NIMA related kinase 9,91754,14,-0.02797,6.016,0.4938,0.76,,,,,,,,,,,
SUPT7L,SPT7-like STAGA complex gamma subunit,9913,2,-0.0248,5.093,0.4938,0.76,,,,,,,,,,,
HP09025,uncharacterized LOC100652929,100652929,17,-0.0533,-6.212,0.4938,0.76,,,,,,,,,,,
RUNX1,runt related transcription factor 1,861,21,-0.0486,6.125,0.4937,0.76,,,,,,,,,,,
NA,NA,NA,NA,-0.05448,-6.031,0.4935,0.7598,,,,,,,,,,,
SMO,"smoothened, frizzled class receptor",6608,7,-0.08851,2.771,0.4933,0.7595,,,,,,,,,,,
CCDC9,coiled-coil domain containing 9,26093,19,-0.03174,4.413,0.4932,0.7594,,,,,,,,,,,
C20orf166-AS1,C20orf166 antisense RNA 1,253868,20,-0.1125,-4.906,0.4931,0.7594,,,,,,,,,,,
SF3B3,splicing factor 3b subunit 3,23450,16,-0.03269,8.063,0.4929,0.7593,,,,,,,,,,,
DIABLO,diablo IAP-binding mitochondrial protein,56616,12,-0.02949,6.836,0.4928,0.7593,,,,,,,,,,,
MT3,metallothionein 3,4504,16,-0.1196,-5.002,0.4927,0.7591,,,,,,,,,,,
MLF2,myeloid leukemia factor 2,8079,12,-0.03353,5.184,0.4925,0.7589,,,,,,,,,,,
MRPL30,mitochondrial ribosomal protein L30,51263,2,-0.03696,3.983,0.4925,0.7589,,,,,,,,,,,
PPM1E,"protein phosphatase, Mg2+/Mn2+ dependent 1E",22843,17,-0.1365,-1.813,0.4923,0.7588,,,,,,,,,,,
SARS,seryl-tRNA synthetase,6301,1,-0.02813,6.346,0.4923,0.7588,,,,,,,,,,,
GALNT18,polypeptide N-acetylgalactosaminyltransferase 18,374378,11,-0.06756,2.22,0.4923,0.7588,,,,,,,,,,,
DAPK3,death-associated protein kinase 3,1613,19,-0.03585,3.82,0.4921,0.7587,,,,,,,,,,,
SMAD1,SMAD family member 1,4086,4,-0.03868,5.566,0.4921,0.7586,,,,,,,,,,,
NA,NA,NA,NA,-0.05516,-6.144,0.4921,0.7586,,,,,,,,,,,
ZFR2,zinc finger RNA binding protein 2,23217,19,-0.09261,-5.592,0.4921,0.7586,,,,,,,,,,,
LINC00615,long intergenic non-protein coding RNA 615,439916,12,-0.06873,-5.876,0.4919,0.7585,,,,,,,,,,,
SLC25A26,solute carrier family 25 member 26,115286,3,-0.03116,3.505,0.4912,0.7576,,,,,,,,,,,
KCNT1,potassium sodium-activated channel subfamily T member 1,57582,9,-0.1308,-2.461,0.4911,0.7575,,,,,,,,,,,
GJC2,gap junction protein gamma 2,57165,1,-0.08159,0.284,0.4911,0.7575,,,,,,,,,,,
PER3,period circadian clock 3,8863,1,-0.07595,5.578,0.491,0.7574,,,,,,,,,,,
UBXN4,UBX domain protein 4,23190,2,-0.02882,7.362,0.4905,0.7571,,,,,,,,,,,
MSMO1,methylsterol monooxygenase 1,6307,4,-0.06104,5.151,0.49,0.7566,,,,,,,,,,,
AMDHD2,amidohydrolase domain containing 2,51005,16,-0.04185,2.762,0.49,0.7566,,,,,,,,,,,
ZNF462,zinc finger protein 462,58499,9,-0.06611,6.679,0.4898,0.7564,,,,,,,,,,,
LOC148709,actin pseudogene,148709,1,-0.1202,-2.637,0.4894,0.7559,,,,,,,,,,,
LOC642852,uncharacterized LOC642852,642852,21,-0.08776,-4.034,0.4893,0.7558,,,,,,,,,,,
HAPLN2,hyaluronan and proteoglycan link protein 2,60484,1,-0.07647,-5.787,0.4892,0.7558,,,,,,,,,,,
TSR3,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",115939,16,-0.03629,2.52,0.4891,0.7557,,,,,,,,,,,
KDM5D,lysine demethylase 5D,8284,Y,-0.3488,4.681,0.489,0.7556,,,,,,,,,,,
ILF3-AS1,ILF3 antisense RNA 1 (head to head),147727,19,-0.08501,-4.284,0.4888,0.7554,,,,,,,,,,,
NA,NA,NA,NA,-0.07179,-5.526,0.4888,0.7554,,,,,,,,,,,
PDZD4,PDZ domain containing 4,57595,X,-0.117,-0.09896,0.4888,0.7554,,,,,,,,,,,
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,9479,11,-0.07853,2.203,0.4887,0.7553,,,,,,,,,,,
FAM156A,family with sequence similarity 156 member A,29057,X,-0.08334,-5.496,0.4886,0.7553,,,,,,,,,,,
SNORD116-18,"small nucleolar RNA, C/D box 116-18",100033430,15,-0.1335,-4.981,0.4885,0.7553,,,,,,,,,,,
C19orf52,chromosome 19 open reading frame 52,90580,19,-0.03991,0.4845,0.4884,0.7552,,,,,,,,,,,
NA,NA,NA,NA,-0.06666,-1.8,0.4883,0.7552,,,,,,,,,,,
LINC00612,long intergenic non-protein coding RNA 612,253128,12,-0.04253,-6.251,0.4883,0.7551,,,,,,,,,,,
KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1 (non-protein coding),10984,11,-0.09272,1.464,0.4881,0.7548,,,,,,,,,,,
LOC100507670,uncharacterized LOC100507670,100507670,1,-0.08495,-4.946,0.488,0.7548,,,,,,,,,,,
LOC643711,platelet activating factor acetylhydrolase 1b catalytic subunit 2 pseudogene,643711,12,-0.0419,-6.242,0.4878,0.7546,,,,,,,,,,,
MINA,MYC induced nuclear antigen,84864,3,-0.03924,5.019,0.4876,0.7543,,,,,,,,,,,
ABHD6,abhydrolase domain containing 6,57406,3,-0.04587,2.018,0.4874,0.7541,,,,,,,,,,,
ZNF524,zinc finger protein 524,147807,19,-0.04566,-0.1048,0.4873,0.7541,,,,,,,,,,,
ACOX2,"acyl-CoA oxidase 2, branched chain",8309,3,-0.1049,0.9559,0.4873,0.7541,,,,,,,,,,,
NA,NA,NA,NA,-0.08638,-5.18,0.4869,0.7537,,,,,,,,,,,
CRYBG3,crystallin beta-gamma domain containing 3,131544,3,-0.0493,6.327,0.4866,0.7533,,,,,,,,,,,
RDH16,retinol dehydrogenase 16 (all-trans),8608,12,-0.09663,-0.5363,0.486,0.7525,,,,,,,,,,,
BAX,BCL2-associated X protein,581,19,-0.03808,2.786,0.486,0.7525,,,,,,,,,,,
SGCG,sarcoglycan gamma,6445,13,-0.1615,-2.408,0.4859,0.7523,,,,,,,,,,,
NA,NA,NA,NA,-0.05415,-6.124,0.4858,0.7523,,,,,,,,,,,
NREP,neuronal regeneration related protein,9315,5,-0.0807,2.407,0.4858,0.7523,,,,,,,,,,,
OR10A7,olfactory receptor family 10 subfamily A member 7,121364,12,-0.0983,-5.649,0.4858,0.7523,,,,,,,,,,,
PDCD6IPP2,PDCD6IP pseudogene 2,646278,15,-0.1108,-2.809,0.4857,0.7523,,,,,,,,,,,
NA,NA,NA,NA,-0.1544,-1.156,0.4856,0.7522,,,,,,,,,,,
NF1P2,neurofibromin 1 pseudogene 2,440225,15,-0.05903,-6.107,0.4855,0.7522,,,,,,,,,,,
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,5575,7,-0.05859,2.972,0.4853,0.752,,,,,,,,,,,
LINC01549,long intergenic non-protein coding RNA 1549,100505929,21,-0.09634,-5.311,0.4853,0.752,,,,,,,,,,,
DUS2,dihydrouridine synthase 2,54920,16,-0.04353,4.057,0.4852,0.7519,,,,,,,,,,,
C17orf97,chromosome 17 open reading frame 97,400566,17,-0.07703,2.049,0.4851,0.7519,,,,,,,,,,,
FAM81B,family with sequence similarity 81 member B,153643,5,-0.1701,-3.808,0.485,0.7518,,,,,,,,,,,
DLEU7-AS1,DLEU7 antisense RNA 1,100874074,13,-0.0731,-5.646,0.4847,0.7515,,,,,,,,,,,
MIR758,microRNA 758,768212,14,-0.04205,-6.267,0.4846,0.7514,,,,,,,,,,,
TAF7,TATA-box binding protein associated factor 7,6879,5,-0.0403,5.25,0.4844,0.7512,,,,,,,,,,,
EGLN1,egl-9 family hypoxia-inducible factor 1,54583,1,-0.03643,6.186,0.4844,0.7512,,,,,,,,,,,
PCDHA4,protocadherin alpha 4,56144,5,-0.1657,0.5956,0.4843,0.7511,,,,,,,,,,,
LCMT1,leucine carboxyl methyltransferase 1,51451,16,-0.02966,5.347,0.4843,0.7511,,,,,,,,,,,
NRL,neural retina leucine zipper,4901,14,-0.08009,-2.35,0.4842,0.751,,,,,,,,,,,
SNX30,sorting nexin family member 30,401548,9,-0.03767,4.313,0.484,0.751,,,,,,,,,,,
CFAP161,cilia and flagella associated protein 161,161502,15,-0.1065,-1.297,0.4838,0.7507,,,,,,,,,,,
FNDC7,fibronectin type III domain containing 7,163479,1,-0.1081,-3.043,0.4838,0.7507,,,,,,,,,,,
NA,NA,NA,NA,-0.0514,-6.155,0.4837,0.7506,,,,,,,,,,,
C17orf112,chromosome 17 open reading frame 112,100506650,17,-0.05038,-6.215,0.4837,0.7506,,,,,,,,,,,
OR8B3,olfactory receptor family 8 subfamily B member 3,390271,11,-0.05542,-6.132,0.4835,0.7505,,,,,,,,,,,
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",5894,3,-0.04277,7.081,0.4834,0.7505,,,,,,,,,,,
RAB9B,"RAB9B, member RAS oncogene family",51209,X,-0.09431,-0.2426,0.4831,0.75,,,,,,,,,,,
AK5,adenylate kinase 5,26289,1,-0.1289,-0.03513,0.4828,0.7497,,,,,,,,,,,
PPP3R2,"protein phosphatase 3 regulatory subunit B, beta",5535,9,-0.06645,-6.116,0.4827,0.7497,,,,,,,,,,,
MPC1,mitochondrial pyruvate carrier 1,51660,6,-0.04068,2.348,0.4826,0.7495,,,,,,,,,,,
U2AF1,U2 small nuclear RNA auxiliary factor 1,7307,21,-0.08434,-5.11,0.4822,0.7491,,,,,,,,,,,
GMEB2,glucocorticoid modulatory element binding protein 2,26205,20,-0.03196,2.665,0.4821,0.7491,,,,,,,,,,,
NA,NA,NA,NA,-0.0751,-5.828,0.4819,0.7488,,,,,,,,,,,
ROBO3,roundabout guidance receptor 3,64221,11,-0.09154,1.825,0.4815,0.7486,,,,,,,,,,,
GPSM1,G-protein signaling modulator 1,26086,9,-0.07666,2.168,0.481,0.748,,,,,,,,,,,
PDS5A,PDS5 cohesin associated factor A,23244,4,-0.02733,8.09,0.481,0.748,,,,,,,,,,,
SNORA68,"small nucleolar RNA, H/ACA box 68",26780,19,-0.08197,3.778,0.481,0.748,,,,,,,,,,,
